location,topics
United Kingdom,"['javascript', 'jquery', 'java', 'html', 'php', 'arrays']"
"Warsaw, Poland","['java', 'spring', 'javascript', 'scala', 'spring-mvc', 'multithreading']"
"Seattle, WA","['c++', 'c', 'c#', 'gcc', 'windows', 'pointers']"
"Buckinghamshire, United Kingdom","['jquery', 'javascript', 'html', 'css', 'ajax', 'php']"
USA,"['css', 'html', 'flexbox', 'css-grid', 'centering', 'css-selectors']"
"Frankfurt, Germany","['javascript', 'regex', 'xml', 'xslt', 'jquery', 'xpath']"
1999法轮功，2018包子露宪,"['git', 'c', 'c++', 'linux', 'python', 'assembly']"
"Madrid, Spain","['python', 'mysql', 'php', 'java', 'sql', 'regex']"
"Ulm, Germany","['regex', 'python', 'string', 'java', 'c#', 'javascript']"
,"['sql', 'mysql', 'sql-server', 'tsql', 'oracle', 'database']"
"ℂ𝕙𝕚𝕔𝕒𝕘𝕠, 𝕀𝕃","['python', 'python-3.x', 'dictionary', 'numpy', 'list', 'python-2.7']"
,"['java', 'swing', 'jtable', 'jframe', 'jpanel', 'user-interface']"
,"['bash', 'python', 'shell', 'linux', 'unix', 'sed']"
Switzerland,"['java', 'python', 'javascript', 'eclipse', 'html', 'linux']"
"London, United Kingdom","['java', 'java-8', 'multithreading', 'string', 'concurrency', 'arrays']"
United Kingdom,"['javascript', 'php', 'html', 'css', 'jquery', 'arrays']"
"Montpelier, VT, USA","['git', 'shell', 'ruby', 'bash', 'html', 'javascript']"
,"['apache-spark', 'apache-spark-sql', 'pyspark', 'python', 'scala', 'dataframe']"
,"['javascript', 'jquery', 'arrays', 'html', 'jquery-selectors', 'dom']"
United Kingdom,"['javascript', 'jquery', 'html', 'dom', 'contenteditable', 'selection']"
United Kingdom,"['javascript', 'php', 'html', 'mysql', 'jquery', 'css']"
United States,"['pandas', 'python', 'dataframe', 'python-3.x', 'numpy', 'pandas-groupby']"
,"['ios', 'objective-c', 'swift', 'xcode', 'uitableview', 'cocoa-touch']"
"Essen, Germany","['php', 'xml', 'html', 'arrays', 'oop', 'zend-framework']"
Norway,"['javascript', 'jquery', 'html', 'arrays', 'css', 'ajax']"
"Halifax, Canada","['assembly', 'x86', 'c++', 'c', 'x86-64', 'cpu-architecture']"
"Silicon Valley, CA, United States","['c++', 'c', 'pointers', 'arrays', 'constants', 'gcc']"
QuantumLocation,"['matplotlib', 'python', 'seaborn', 'pandas', 'plot', 'python-3.x']"
Germany,"['javascript', 'python', 'php', 'jquery', 'html', 'c']"
"Los Angeles, CA","['c#', '.net', 'wpf', 'python', 'xaml', 'performance']"
,"['java', 'spring', 'jdbc', 'mysql', 'math', 'database']"
"Torun, Poland","['git', 'version-control', 'diff', 'branch', 'merge', 'mercurial']"
"Charlottesville, VA","['c#', 'python', 'java', '.net', 'ruby', 'git']"
Wisconsin,"['mongodb', 'node.js', 'mongoose', 'javascript', 'mongodb-query', 'express']"
,"['python', 'string', 'list', 'datetime', 'dictionary', 'regex']"
"Linz, Austria","['java', 'string', 'collections', 'generics', 'android', 'javascript']"
"Western Australia, Australia","['postgresql', 'sql', 'database', 'postgresql-9.1', 'python', 'java']"
